User,Bot
only 11 percent?,about 50 percent of the time he's traveling.
"tell me about it, dad.",about 90 of us world war ii veterans got on the plane at 8 a.m.
about what?,about finding a job for me.
what are we going to do?,about what?
a good story is more important than color.,actors didn't curse back then.
but they can just knock on the door.,"actually, i want him to look at our carpet, too."
then we can scrub it with a wet sponge and soap.,"after that, we can dry it with a towel."
"i meant, are you going to vote for or against the new taxes?","against all of them, of course."
how soon can we begin?,ahora! that means right now.
the walls were so thin.,all day long we heard tvs or telephones.
exactly what?,all i get is a black screen.
nothing seems to work.,"all it takes is will power, and you have it."
all day long we heard tvs or telephones.,all night long we heard people snoring.
talk to you then.,"all right, see you."
that sounds good.,"all right, so i'll see you then."
"thank you for inviting me, but i think i'll pass.",all right. another time then.
i'd better see you there.,all right. i'll see you next time.
it gives you all the news.,all the news in only 50 pages.
remind me to never visit you.,all the radios will be on extra loud.
that's the way cats are.,all they think about is themselves.
and carry it into the house.,all we have to do is flip a switch.
thank goodness! i don't want to see any wild animals.,all we've seen so far is a couple of lizards.
voting is so easy. you can even mail your ballot in.,all you have to do is vote and put a stamp on it.
i will keep knocking on doors.,all you will get is sore knuckles.
i bet i've lost a couple of pounds already.,all you've lost is some sweat.
just put them in the fridge.,"also, i bought a can of cheap coffee and a bag of good coffee."
is that it?,"also, there aren't enough police."
oh. that's simple enough.,"always print clearly, and fill in the bubbles completely."
"yeah, i think i'll go.",am i going to see you there?
what is it this time?,an andy warhol drawing.
they need 300 new workers.,"and 4,000 people showed up."
that's a good deal.,and a one-pound tub of soft butter was the same price.
i hate shots.,and a puppy eats food. food costs money.
we'll grow old together.,and be happy together.
someone had to chop the wood.,and carry it into the house.
one that won't grow up too big.,and eat too much.
maybe you should stop shaving.,and grow a beard?
that's disgusting.,and he poured water into our glasses.
and?,and he yelled back at me.
he's a good speaker.,and he's really smart.
"no, it isn't. a flat costs you time and money.",and i don't have either.
"yes, you have to take care of your wife.",and i have to take care of our children.
"yes, you don't want to travel in winter storms.",and i want to get a big cabin with a view.
i just insert my debit card into the machine.,and it gives you money?
"me, too. school was fun.",and it was only 12 years.
"that's good, because i don't want to live under people with loud feet.",and it's a corner unit.
it goes on and on forever.,"and it's deep, too."
natural food has more vitamins.,and it's just as easy to prepare.
it's not too big.,and it's not too small.
"yes, it has lots of rooms and lots of space.",and lots of books.
and lots of books.,and lots of thieves.
"so, you didn't become a doctor.",and now i'm glad that i didn't.
he helped make the yankees the best team ever.,"and ruth was a good person, too."
but 90 percent of the world uses pcs.,and that's not going to change anytime soon.
three different people will give you three different stories.,and the government will give you a fourth story.
especially on toast.,"and the pickles were great, too."
wow! that is nice. let's stay for two nights.,"and the rooms are clean, too."
he swam right up to you.,and then he turned right around.
that's a lot of work.,and then i made lunch.
and then what?,and then she'll know that you like her.
they look so stupid taking a puff.,and then they blow smoke out of their mouth.
we can watch my dvd.,and then we can go to my home.
then we'll just make a u-turn.,and then we can turn right at the light.
just ask her out to dinner.,and then what?
"her face is really fat, but they say the swelling will go down.",and then will she look normal again?
you hit a white ball.,and then you chase it.
and then you chase it.,and then you hit it again.
perfect. we don't have to listen to barking dogs.,and there are only six units in the whole building.
actors didn't curse back then.,and there was no violence.
i've been to two doctors.,and they couldn't fix your problem?
they said about 30 houses burned to the ground.,and they were expensive houses.
you can yell at them.,and they will yell back at you.
"yes, the workers are very polite.",and they're clean.
and then we can go to my home.,and watch your dvd.
"three bedrooms, three bathrooms, and a big back yard.",and we can afford it!
that's true. they promise anything just so they get elected.,"and when elected, they go their own way."
you sure do.,and you get a lot of exercise every day.
that's the truth.,and you get to play with a lot of dogs.
then it will look like new,and you save $10.
now you're mine forever.,and you're mine forever.
"yes, i did.",and?
"no, i'm looking for another family.",another family?
and a one-pound tub of soft butter was the same price.,another good deal.
which one?,any one. i need to sharpen this pencil.
it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.
"i like all my classmates, too.",anything else?
i need pencils.,anything else?
"criminals, of course.","anyway, i have to fix the hole."
we went to a nice restaurant.,anywhere else?
i think it's five miles deep.,are there fish at the bottom?
what do you mean?,are there going to be layoffs at this place?
there are fish at the top and the bottom.,are there more fish or more people?
i bought some new shoes.,are they comfortable?
a couple of dictionaries and some textbooks.,are you crazy?
i'm attending pcc right now.,are you enjoying it there?
i believe that she will give me the invitation today.,are you even going to go?
my stomach was bothering me.,are you feeling any better?
my wife and i will be cremated.,are you going to be buried next to each other?
that's nice.,are you going to be there?
"it still works, but i'm going to give it to a charity.",are you going to buy a desktop or laptop?
i hate homework.,are you going to college?
"oh my god, that's great!",are you going to go and visit her and the baby?
spring break starts tomorrow.,are you going to go anywhere?
and i have to take care of our children.,are you going to start a family?
and i want to get a big cabin with a view.,are you going to travel alone?
that's what i'm going to do.,are you going to wash it yourself?
will you look at this form?,are you having problems with it?
"oh, really?",are you interested?
i have to feed them.,are you looking for another job?
yes?,are you reading this paper?
i am really excited for you.,are you really?
that's a good question. maybe it's not old age.,are you right-handed?
"my boss offered me a promotion, and i took it.",are you serious?
oh really? i didn't know that.,are you serious?
i parked it right here.,are you sure?
i'm looking. there's nothing to eat.,are you sure?
"no, you didn't. i checked the stove before we left.",are you sure?
we can't afford this house.,are you sure?
"no, it's dark pink!",are you sure? i never heard of such a thing.
i think i might've bumped into her before.,are you telling me that you've seen her before?
what's to check?,are your nails clean?
but it was full of pencils! how could he say it was empty?,artists see things differently.
friends will lend you money when you're broke.,as long as you pay them back.
i don't know. the tag is missing.,ask the clerk.
when does it start?,at 8:00 p.m.
what did you do at night?,at night i went out to eat. the food was delicious.
is that a lot of work?,babies cry all the time.
"no, a real breakfast.",bacon and eggs?
tell me what you've been doing.,"basically, i've been working too."
why do you have to think about it?,because a puppy costs money.
sure. why not?,because food and other stuff sticks in my beard.
why is that?,because he likes to scuba dive.
why is that?,because i love the snow.
why do you want to move there?,because i want to make a lot of money.
"maybe i know, but how could you know?",because i was watching you.
why is that?,because i watch the other players.
why's that?,"because if you're super-smart, no one understands what you're saying."
why not?,because i'll never find one for such a low price.
why do you like it?,because it has great teachers.
why?,because it will protect you in case of an accident.
why would i do that?,because men like to cheat.
why is that?,because of all the earthquakes and fires.
i hate to fly.,because of all the security?
why is there so much crime?,because parents don't teach their kids right from wrong.
why do they want tax cuts?,because tax cuts will save them money.
why?,because that gets the blood out of the shirt.
how do you know?,because they always do.
why do we need to save money?,because we need to buy a house.
really? why is it?,because you can see the stars perfectly.
why?,because you don't want to smell bad.
why?,because you get to meet a lot of people.
why me?,because you helped make it dirty.
so why can't i have pizza for dinner?,because you need variety.
why not?,because you'll have an accident. most accidents are because people are in a hurry.
then why aren't i having fun?,because you're thinking too much.
i don't have even one dollar in it.,being broke is no fun.
"well, i've seen them eating berries.",berries aren't in season all year round.
so what's the problem?,"bluedog123 is just the street. you have to give me the city, state, and zip code."
it's bluedog123.,bluedog123. are you sure that's all?
i love boiled peanuts.,boiled? i never heard of that.
"but when i sneak just one cigarette in the morning, she can smell it that evening!","boy, that is a good nose."
"yes. nothing's perfect, not even in heaven.","boy, that's a tough one."
yes. it gets a little cool at night.,bring a glove to catch a foul ball.
i hope we'll catch a foul ball.,bring a jacket.
what do you want the waiter to do?,bring me a better steak.
it's such a chore.,"brush, brush. spit, spit."
more and more people are using macs.,but 90 percent of the world uses pcs.
so is everyone else.,but a cop might stop you.
because we need to buy a house.,but a house is so expensive.
he should act his age.,but a lot of old people are still interested in dating.
"take me to a nice restaurant, not to mcdonald's.",but a nice restaurant costs money.
because of all the earthquakes and fires.,but big earthquakes happen only once in a while.
"not to mention 40,000 wounded soldiers.",but bush visited some of them in the hospital once.
"what's so tough about it? of course, i would pick cigarettes.",but cigarettes taste much better when you have a cold beer.
"well, he can't win unless you and others vote for him.","but even if my candidate wins, he'll break his promises."
"me, neither.",but girls like guys who are funny.
he's the only candidate that i trust.,but he didn't have a chance. nobody voted for him!
he shouldn't scuba dive until he retires.,but he dives to relax.
"oh, all over the world.",but he's supposed to be making our city a better place.
i don't know. sometimes the law doesn't make sense.,but his latest fire killed someone.
of course not. that would be racist.,but how can we identify someone if we don't know their race?
that's not the attitude of a good driver.,but i am a good driver. i've never had a ticket in my life.
you're wearing out your right hand. stop using it so much.,but i do all my writing with my right hand.
don't wipe your nose on your sleeve.,but i don't have a tissue.
how rude.,but i got lucky a few minutes later.
"you don't need to have cable, but you do need a good antenna.",but i have rabbit ears.
you drink too much coffee.,but i love coffee.
you had pizza for lunch.,but i love pizza.
"well, that should get you something.",but i need something that's reliable.
you rolled through that stop sign back there.,but i stopped!
"turn the radio down, please.",but i'm listening to it.
you can say that again.,but i'm worried about tiger.
now a stamp is 42 cents.,but in may it will be 44 cents.
the artist said the jar was both full and empty.,but it was full of pencils! how could he say it was empty?
i think it was about 45 minutes long.,but it went by fast. it was interesting.
he probably won't use drugs anymore.,but it won't stop other players from using drugs.
it isn't easy to see.,but it's real easy to slip on.
because it will protect you in case of an accident.,but it's uncomfortable.
"well, listen to me. you need to buy a ticket now.",but maybe prices will be cheaper in october.
your sleeves are not tissues.,"but mom, all my friends use their sleeves."
"no, florida just has hurricanes every year from june to october.",but most of those hurricanes are harmless.
they probably will.,but no one knows for sure.
"me, too. i couldn't wait to graduate.","but now work is hard, too."
"like ""one, two, buckle my shoe.""",but people still write poems.
me neither. it's boring.,but practice makes perfect.
now he has the world record!,"but someone's going to break it, so what good is it?"
there were more votes than voters!,but that's impossible.
"especially if it's the same work, over and over.",but that's what most people do.
you shouldn't carry your keys and pens in your pocket.,but that's what pockets are for.
another good deal.,but the best deal was five pounds of potatoes for 99 cents.
that's a lot of money.,but the house is so nice.
"no, because i'm eating food that i like.",but the same thing day after day gets old.
you can watch tv after you do your homework.,but the show will be over.
"yes, just like fruit that is too ripe.",but the smell is different.
"yes, like the government says not to worry about the swine flu.",but the swine flu just killed 20 people in mexico.
"don't believe him! whatever the tv ads tell you, the opposite is true.","but the title of measure 1 is ""better schools at no cost."""
you mean the measures that will raise our taxes.,but the tv ads say that our taxes will not increase.
"also, there aren't enough police.",but there are a lot of police.
in case we have visitors.,but they can just knock on the door.
the only thing in my backpack is used books.,but thieves don't know that.
i would never want to be president.,but think about all the power you'd have.
i need to type to make money.,but typing is causing you pain.
"well, we have a new president.",but we have the same old problems.
let's leave.,but we just got here.
"against all of them, of course.","but we need new taxes to pay for highways, schools, and prisons."
get out of this lane.,but we need to turn left.
rude people are everywhere.,but what can you do?
maybe in your next life you'll have blue eyes.,but what if i'm a fish in my next life?
you don't need a good nose for thatcigarettes stink.,"but when i sneak just one cigarette in the morning, she can smell it that evening!"
it went by pretty fast.,but work goes on forever!
your chances are very small.,but you can't win if you don't play.
"no, i hate vegetables.",but you eat fruits.
cigarette lighters. i'll make a fortune.,but you hate cigarettes and you hate smoking!
i know. i really want to go to the beach.,but you know that california weather is really unpredictable.
"yes, it was pleasant.",but you won't date him again?
"well, i would never buy her cd.",but you would buy her cd if she was pretty?
why? i'm watching the original.,but you'll be asleep in about one minute.
i know that.,but you're doing 75.
once in a while is once too many.,but you're right. there are a lot of fires.
go do your homework.,"but, mom!"
"it's time for your bath, young lady.","but, mom, i'm not dirty."
my laptop is so slow.,buy a new one.
i can't spend four hours on the road every day.,"by the time you get home, you'll be too tired to even eat."
see you later.,bye.
a movie sounds good.,call me tomorrow then.
"then i add butter, salt, and pepper.",can i have all those cans of tomato sauce you bought for your pasta?
i would like to.,can i pick you up friday night?
we tell our students to leave the classroom.,can they take their belongings?
i really like this house.,can we afford it?
"yes, he went through the red light.",can we call the police?
"yes, it starts at 7 p.m.",can we get tickets?
i'm a handyman.,can you fix a dripping faucet in a kitchen sink?
i didn't hear anything about it.,can you go?
he's never going to make everyone happy.,can you imagine being president?
i haven't heard anything about it.,can you make it?
he's visiting other cities to get ideas.,can't he just go online?
there's no food in the woods.,can't they eat grass?
there's only one police officer per 100 criminals.,can't we hire more police?
no one at work likes him.,can't you report him to his supervisor?
"whatever it is, it hurts.",can't you take medicine or something for it?
i hope i come back as a cat.,cats have beautiful eyes.
but maybe prices will be cheaper in october.,cheaper prices won't do you any good if there are no seats.
"okay, let's sit down.",check out the silverware.
i'll try.,check your tires or you'll get a flat.
"yes, but it will be in a cemetery where your children can visit you.",children seldom visit their parents in a cemetery.
"okay, what do you want to sell?",cigarette lighters. i'll make a fortune.
they think it's cool.,cigarettes stink.
three packs of what?,"cigarettes, of course."
"oh, that's easy.","clean the sink, the tub, the counter, and the toilet."
we get a free breakfast.,coffee and a roll?
i love my computer.,computers are so cool.
it's the truth. i am really happy.,congratulations on your promotion.
that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird."
who carries a sharp knife in their pocket?,"criminals, of course."
just wait until you're 50 years old.,dating will be the furthest thing from my mind.
which one?,deal or no deal
heard what?,debrah already had her baby.
i haven't heard anything.,debrah had her baby last week.
she's really pretty.,describe her to me.
"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway.",did he crash?
"yes, he was smoking a cigarette.",did he die?
of course! he's world famous.,did he ever take art lessons?
he landed on the hood of the car.,did he get off the hood?
shakespeare was a poet.,did he get rich from his poetry?
yes. he said he'd come over tomorrow.,did he say what time?
why would he do that?,did he set a new record?
he drew two butterflies and a flower on a napkin in a restaurant.,did he sign it?
he spoke to them and made them feel better.,did he speak to every family that lost a soldier?
yes. he said he'd be here at 9 o'clock.,did he understand what the problem is?
i had a stomachache.,did it get any better?
i'll say. my girlfriend has a nose like a drug dog.,did she catch you using drugs?
did you see the woman with the new face?,did she get a nice job?
"no, this is the tree.",did someone steal it?
they are bites.,did the cat bite you?
"no, he just landed the plane and walked to a restaurant.",did the cops find out why he flew into the u.s.?
it works only in canada.,did the seller know that?
"yes, he stole a plane in canada and flew into the u.s.",did they catch him?
officials said that it's possible.,did they explain how it's possible?
"every so often, i do.",did you always know how to draw and paint?
oh. of course i'm ready.,did you buy the converter?
i don't know.,did you call the repairman?
i think i lost it today. i used it yesterday.,did you check all your pockets?
"yes, they are.",did you double-check your nose and teeth?
"yes, i took them off the pillows and washed them.",did you dry everything in the dryer?
artists see things differently.,did you ever see anything that picasso painted?
i don't know. i think i'm average.,did you ever take an iq test?
"i had a car problem, so i went online.",did you find a solution?
i drove around for half an hour.,did you find a spot?
"whatever a customer ordered, i sliced off a little more for me.",did you get fat?
i loved it!,did you get free food?
it took us all day.,did you give him a nose?
"the island is so green, and the water is so blue.",did you go swimming?
i had to blow my nose.,did you have to blow right next to the phone?
they sure are.,did you hear about the pilot?
did you have to blow right next to the phone?,did you hear that?
i went to hawaii on vacation.,did you like it?
i already looked there.,did you look in the desk drawer?
i checked all my pockets.,did you look in your desk?
no problem.,did you need something?
"yes, and i sealed the envelope.",did you put a stamp on the envelope?
i told her that school is fun.,did you put the letter in an envelope?
i folded all the towels.,did you put the sheets on the beds?
i got a promotion at my job.,did you really?
"that's a good idea, but there was a good sale at this store.",did you save any money on the sale?
but we just got here.,did you see the waiter's hands?
"they are clean, too.",did you shine your shoes?
that's a good question.,did you take it to a computer shop?
it only took about two hours.,did you take pictures at the world war ii monument?
i first learned how to do it in high school.,did you take some sort of art class or something?
"yes, i did.",did you tell her about school?
i just cut myself again.,did you use a new blade?
nobody has told me anything about your party.,did you want to go?
"i found a spot, but someone cut in and took it from me.",did you yell at them?
"yes, i saw that movie the first day it came out in theaters.",didn't you laugh through the whole movie? i did.
"what's ""variety?",different thingsnot the same thing all the time.
"yes, we need a relaxed president who thinks clearly.",do any other world leaders have a basketball court?
i will rub gently but firmly.,"do it quickly, please, so i can change channels during commercials."
you might be right.,do pimples run in your family?
"and the rooms are clean, too.",do they allow pets?
they were on sale for $80.,do they help you run faster?
the tv news is reporting a bank robbery.,do they know what the robber looks like?
they talk about food and the weather.,do they talk about us?
it's only 10 minutes from here.,do we need reservations?
but the tv ads say that our taxes will not increase.,do you believe the tv ads?
"oh, yes. i wash it once a week.",do you change the oil?
"well, i guess if it ever does get old, i'll change to something different.",do you eat fruits and vegetables every day?
"yes, i've passed all my tests.",do you ever pray for money?
my stomach was upset.,do you feel better now?
i can't get a single channel.,do you have a digital tv?
i have no idea. i've been here for 20 years.,do you have any other skills?
would you like to see a movie with me and my friend?,do you know what movie you're going to watch?
and eat too much.,do you know which one he would like?
here you go.,do you know why i pulled you over?
three pounds just this month.,do you know why?
i go to pcc.,do you like it there?
i go to pasadena city college.,do you like it?
have you decided how you are going to vote?,"do you mean on measures 1, 2, and 3?"
no. i already have a pen.,do you need a calculator?
i need a notebook.,do you need a pen?
of course.,do you pray to god?
how do you like it?,do you see all this gray hair? it was totally black five years ago.
"yes, it is. but it still looks good.",do you take good care of it?
can't they eat grass?,do you think a bear is a cow?
"i'll give you a speech like that, too.",do you think anyone will come to my funeral?
every morning you get up late and rush off to work late.,do you think i'll forget to do it?
have you looked in the mirror?,do you think i'm getting fat?
what's the matter with the produce?,do you think the bananas fell from the sky?
that sounds like fun.,do you think you can come?
i don't really feel too well yet.,do you want anything to make you feel better?
that's a good idea.,do you want me to wake you in an hour?
did you need something?,do you want to do something tomorrow?
is there anything you would like to do next time?,do you want to go out to eat?
my shoes are shined.,do your socks match?
maybe i should see a doctor.,doctors are too expensive.
"well, if i have a big test at school.",does god answer your prayers?
"oh, look. here's another shirt just like it.",does it have a price tag?
it was only about $120 for a 13-inch screen.,does it pick up any digital channels?
no. it costs too much money.,doesn't crime cost more than police?
i wish i could afford first class seats.,doesn't everybody?
"no, i'm serious.",doesn't that get old?
"i think if you are friendly to dogs, they are friendly to you.",dogs are like peoplenot all of them are friendly.
i've been really busy.,doing what?
"this friday? sorry, i already have plans.",doing what?
but how can we identify someone if we don't know their race?,don't ask me.
like what?,don't be nosey.
i wish i was really smart.,don't be ridiculous.
i like the one where the fireman tells us why we should vote yes.,"don't believe him! whatever the tv ads tell you, the opposite is true."
"okay, i'm sorry i did it.",don't drink milk out of the carton. use a glass!
"well, i meant to.",don't ever be in a hurry when you're driving.
i'm in a hurry.,don't ever be in a hurry.
i'll use a damp cloth.,don't let water get into any of the cracks.
"thank you very much, that's kind of you.",don't mention it.
"while you're using the bathroom, i'll order some food.",don't order for me. i'm not hungry.
i'll squeeze the cloth so it's almost dry.,don't rub the numbers off the remote.
the seats and windows are dirty.,don't they clean the bus every night?
i'm going to clean it.,don't use water on it!
"okay, i'll get the vacuum cleaner.",don't vacuum it now.
"yes, i looked there, too.",don't we have about five sharpeners?
that's for sure.,don't worry about what people think.
no way! i don't want to fall to my death.,don't worry. only one person has ever fallen off a mule.
"if you're going to make a wish, wish that you were really rich or famous.",don't you ever wonder what it's like to be super-smart?
don't vacuum it now.,don't you want me to clean up the mud?
when are you going?,during the christmas holidays.
i don't want fruit. i want something tasty.,eat the fruit. it's good for you.
what time?,eight o'clock.
how many are there?,eight.
how many cars?,eleven cars.
what is your major?,english.
this wind is dangerous for drivers.,especially for drivers of big trucks.
"yes, that's right. it does get boring.","especially if it's the same work, over and over."
this trail is hard to climb.,especially on a hot day like this.
but it's real easy to slip on.,especially on these slick floors.
everyone likes bacon and tomato sandwiches.,especially on toast.
those shopping carts are dangerous.,especially the metal ones.
being broke is no fun.,even if it's only for a short while.
old movies are the best.,even though they're in black and white.
"yes, he was on the tv news today.",every easter sunday he gives away money.
what do you mean?,every morning you get up late and rush off to work late.
of course i do. but not on our flag!,every nation should have a pretty woman on their flag.
"oh, you actually do that?","every so often, i do."
maybe he'll send us our waiter immediately.,"every time we eat out, it's an adventure."
what do you mean?,"every time we land or take off, my ears hurt so much."
i bought some stock.,everybody buys stock.
"yes, he made the home run popular.","everybody loved him, all over the nation."
but i love pizza.,everybody loves pizza.
i didn't know you had a gun.,everyone in america should have a gun.
"the sandwich was good, too.",everyone likes bacon and tomato sandwiches.
he will be a great president.,everyone likes him.
you can't believe what you read in the newspapers.,everyone tells you a different story about the same thing.
can you imagine being president?,everyone wants you to solve their problems.
"i'm absolutely lovely, thank you.",everything's been good with you?
something's wrong with my computer.,exactly what?
"yeah, it sounds like it's going to be the best party of the year.","exactly, it seems like it's going to be loads of fun."
you had an art class?,"exactly, it was my favorite class."
"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot."
that sounds wonderful.,except we can't afford it!
but most of those hurricanes are harmless.,"excuse me. hurricane andrew destroyed 30,000 homes!"
me too.,excuse me. they just called my number.
what difference does it make?,female singers are supposed to be pretty.
and then you hit it again.,"finally, you put the ball into a hole in the ground."
"i'm sorry, but i have to go.",fine.
what's going on with you?,fine. what's going on with you?
what happened?,"first of all, he was half an hour late."
how many?,"first you dial seven numbers, then ten numbers, then ten more numbers."
what are you going to do?,"first, i have to find the button."
"still, it's safer than florida.",florida doesn't have earthquakes or fires.
how do they do that?,"for example, a friend of mine licks his lips."
i don't understand.,"for example, if your birth date is january 12, 1987, write 01/12/87."
what makes it so good?,"for me, it's the students."
you have no idea how happy i am for you.,for real?
but we need to turn left.,forget it. go straight.
you need to get a lot of lessons when you're really young.,forget it. golf sounds more like work than fun.
how long did it take?,"four hours, without a break."
it's always good to have friends.,friends will lend you money when you're broke.
"that's a good idea, because showers waste a lot of water.",from now on i'll spend only 20 minutes in the shower.
i want sheets without stains on them.,"from now on, let's bring our own sheets."
i took something earlier.,get better.
tomorrow i'm going to buy an electric sharpener.,get one with the rubber suction cups on the bottom.
we'll be here forever.,get out of this lane.
i don't know. maybe i'm not rich enough.,girls like guys with money.
okay. i just put a stamp on the envelope.,"give me the envelope, and i'll mail it for you."
this is my favorite show.,go do your homework.
i guess so.,god bless modern medicine.
some guy rowed across the atlantic ocean.,good for him.
and then we can turn right at the light.,good idea. it will be so much quicker.
it's okay. it's a really big campus.,good luck with school.
it's not bad. there are a lot of people there.,good luck with that.
i'm looking in the newspaper for a job.,good luck!
i think that i might.,good! i just thought i'd let you know.
i believe so.,good. i hope it doesn't cool off this weekend.
see you soon.,goodbye.
"well, there is one good table.",great. which one?
they say that we are funny-looking.,ha! we're not funny-looking; animals are funny-looking.
but you can't win if you don't play.,ha! you can't win if you do play.
you're jammed in with people all around you.,"half of them are coughing, and the other half are sneezing."
the invitation says it starts at 8:00 p.m.,has she given out a lot of invitations yet?
i don't think i'm going to dream about anything. i'm really tired.,have a nice nap.
no good movies come to mind.,have you decided whether or not you would like to go?
but in may it will be 44 cents.,have you ever lost a letter in the mail?
i sent them an email asking for my money back.,have you heard from them?
no one would hire you to flip hamburgers.,have you heard something that you're not telling me?
i don't think so.,have you looked in the mirror?
"sometimes the pain goes away, and sometimes it doesn't.",have you seen a doctor?
i think i know who you're talking about.,have you seen her?
my sister had a cold. she gave it to me.,have you taken anything for your cold?
i'm in love with that girl.,have you told her?
"i've tried everything, but nothing works.",have you tried earplugs?
yes. i have to breathe through my mouth.,have you tried nose drops?
"and ruth was a good person, too.",he always visited hospitals to cheer up sick kids.
he said he wasn't using drugs.,he apologized to the fans.
that's unbelievable. can he still breathe?,"he can, but the people around him can't."
most people would say that.,he changed the game.
"he said he was thinking about it, but he didn't get around to it.","he didn't get around to turning himself in, either."
he said i need to think positive.,he didn't give you any medication?
he's a famous artist.,he drew two butterflies and a flower on a napkin in a restaurant.
that's a lot of money.,he gave $100 to people in wheelchairs.
a good battery would have saved his life.,"he had cigarettes, but no battery."
no.,he had dirty fingernails.
i guess he has to be very careful about what he eats.,he has a very strict diet.
why's that?,he hates corporations.
"well, most corporations do think only about money.",he hates democrats and republicans.
"everybody loved him, all over the nation.",he helped make the yankees the best team ever.
"nope, and it drives him crazy.",he knows you can't read his mind. maybe he thinks you're cheating.
what happened to the other student?,he landed on the hood of the car.
he was asking for it.,he learned his lesson. he's home today.
why not?,he made promises that he didn't keep.
but he dives to relax.,"he might relax, but it makes me nervous."
he might want to cut you open.,he might say i'm okay.
he might say i'm okay.,he might say you have bone cancer.
doctors are too expensive.,he might tell me to rest for a while.
he might tell me to rest for a while.,he might want to cut you open.
what did your father do?,he moved out of our house.
"i know he has a good hand, so i don't bet.",he never wins your money?
that will teach him a good lesson.,he probably won't use drugs anymore.
like what?,"he promised to hire 1,000 more police officers."
the home run hitter on drugs?,he said a doctor helped him with a personal problem.
that trip must have cost a lot of money.,he said all the money came from private donations.
so what? did he dial 911?,"he said he was thinking about it, but he didn't get around to it."
he said a doctor helped him with a personal problem.,he said he wasn't using drugs.
why did she do that?,he said he would buy her a nice ring.
so what did he tell you to do?,he said i need to think positive.
it was nothing for him.,he sank a 20-foot putt on the last hole to win by one stroke!
he sank a 20-foot putt on the last hole to win by one stroke!,he sank a 25-footer last year at the same tournament to win by one stroke.
"well, you can't blame a man for asking.",he should act his age.
you mean he could drown.,he shouldn't scuba dive until he retires.
i've never heard him say please or thank you.,he sounds like a real jerk.
that's nice that he found the time to make a visit.,he spoke to them and made them feel better.
that was a mistake.,he stayed on the thirteenth floor.
i think he wanted to cool off.,he swam right up to you.
what did the doctor say?,he thinks i have too much stress.
i bet you had to drag him away.,he wanted to take it home yesterday.
someone stole his laptop.,he was asking for it.
why did he do that?,"he was invited, along with about 90 other veterans."
what's wrong with that?,he went to las vegas. he lost it all gambling.
me too.,he will be a great president.
he will solve our problems.,he will end the war.
and he's really smart.,he will solve our problems.
have you heard what happened?,heard what?
i hope god didn't hear that.,he'll forgive me.
that's what i need to do.,he'll give you a prescription for glasses.
"oh, that's terrible. what does she look like now?","her face is really fat, but they say the swelling will go down."
what's the matter with that?,her mom is a great cook.
it passes inspection.,here comes the waiter. see if his hands and nails are clean.
have you seen our waiter?,here he comes now.
"your driver's license and registration, please.",here you go.
"when he is almost finished with one cigarette, he uses it to light another.",he's a chain smoker.
why not?,he's a dirty old man.
an andy warhol drawing.,he's a famous artist.
everyone likes him.,he's a good speaker.
he's a chain smoker.,he's been a chain smoker for 30 years.
